iter	MultiQuantile:alpha=0.01,,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
0	9.139688407
1	8.9340573
2	8.732122678
3	8.526694706
4	8.337482414
5	8.145606016
6	7.972607843
7	7.800447366
8	7.627387215
9	7.46423049
10	7.309792979
11	7.157284442
12	7.01278281
13	6.873061184
14	6.734783118
15	6.606016054
16	6.494026619
17	6.375891061
18	6.257287903
19	6.139189036
20	6.031023305
21	5.930153252
22	5.822225592
23	5.731180053
24	5.642104864
25	5.545773296
26	5.463308794
27	5.375821902
28	5.29803861
29	5.2193106
30	5.136112777
31	5.057888455
32	4.982965886
33	4.915408974
34	4.851835764
35	4.790548728
36	4.731335509
37	4.671504492
38	4.628858676
39	4.576187874
40	4.523291478
41	4.473435372
42	4.421503945
43	4.372815408
44	4.333689558
45	4.288215466
46	4.251194708
47	4.213050382
48	4.17251087
49	4.144502119
50	4.109655199
51	4.072531482
52	4.03825467
53	4.005086895
54	3.972937228
55	3.942283611
56	3.918209929
57	3.897146483
58	3.870482789
59	3.850142145
60	3.82687149
61	3.803514934
62	3.780807384
63	3.762216028
64	3.741090474
65	3.724803369
66	3.709238628
67	3.691639984
68	3.677257369
69	3.658613269
70	3.64536618
71	3.630454701
72	3.617307112
73	3.603251821
74	3.58978989
75	3.576233962
76	3.563337473
77	3.55169988
78	3.541858343
79	3.53544407
80	3.526656411
81	3.515095694
82	3.506203571
83	3.49753979
84	3.487676505
85	3.479667542
86	3.470647634
87	3.463044583
88	3.455431364
89	3.449131658
90	3.441740446
91	3.435084058
92	3.42931989
93	3.424099655
94	3.418502319
95	3.411875198
96	3.405014037
97	3.399599589
98	3.395369506
99	3.390957787
100	3.386538185
101	3.382444404
102	3.37819291
103	3.374241862
104	3.369263333
105	3.364939085
106	3.36166975
107	3.358446418
108	3.354428365
109	3.351309206
110	3.347870596
111	3.34540296
112	3.342357707
113	3.339823116
114	3.336674244
115	3.334622025
116	3.331728567
117	3.329395538
118	3.327246733
119	3.324843931
120	3.321892236
121	3.318820436
122	3.316359591
123	3.31404451
124	3.311009071
125	3.309253991
126	3.30726264
127	3.305293776
128	3.303251684
129	3.301087726
130	3.299059988
131	3.298072308
132	3.296529322
133	3.294769547
134	3.29348165
135	3.29159548
136	3.290511575
137	3.288921589
138	3.286764332
139	3.285541858
140	3.284796574
141	3.284068402
142	3.28294663
143	3.281472654
144	3.280451083
145	3.279078174
146	3.278236231
147	3.277058834
148	3.27606698
149	3.275098343
150	3.273510257
151	3.272755463
152	3.271856887
153	3.271169889
154	3.270186437
155	3.269462455
156	3.268972837
157	3.268117259
158	3.267177888
159	3.266703016
160	3.266062862
161	3.265344804
162	3.263982659
163	3.263777911
164	3.262705082
165	3.261666977
166	3.260543161
167	3.260001736
168	3.259052137
169	3.258383055
170	3.257551358
171	3.257155662
172	3.256696812
173	3.256383695
174	3.255571241
175	3.254974457
176	3.254403576
177	3.253153618
178	3.251387079
179	3.24988781
180	3.249434322
181	3.248586121
182	3.24795292
183	3.247595219
184	3.247246601
185	3.246658936
186	3.245787992
187	3.244485763
188	3.24420692
189	3.241728269
190	3.240986636
191	3.240041618
192	3.239822047
193	3.238929502
194	3.238135078
195	3.237211483
196	3.23672342
197	3.236553105
198	3.235364944
199	3.234607169
200	3.234171652
201	3.233776251
202	3.23314931
203	3.232766348
204	3.231914554
205	3.231343727
206	3.230876077
207	3.229806599
208	3.229318166
209	3.228911606
210	3.228519483
211	3.227995351
212	3.227264454
213	3.226751039
214	3.226313988
215	3.226166817
216	3.225945154
217	3.224978183
218	3.224508383
219	3.223719507
220	3.223161338
221	3.222848044
222	3.222371136
223	3.221613745
224	3.221163825
225	3.219368415
226	3.219249031
227	3.218930016
228	3.218323358
229	3.217973513
230	3.217699278
231	3.216494441
232	3.214844514
233	3.214575114
234	3.214116863
235	3.213701884
236	3.213142797
237	3.212722452
238	3.211933801
239	3.210988299
240	3.210483969
241	3.209591821
242	3.208860323
243	3.208499111
244	3.207687877
245	3.207261132
246	3.205877747
247	3.205454538
248	3.204727609
249	3.204273415
250	3.203185735
251	3.202445926
252	3.202071443
253	3.200911027
254	3.200466949
255	3.199048048
256	3.197587825
257	3.197144037
258	3.196711046
259	3.19585784
260	3.195278602
261	3.194281676
262	3.19334765
263	3.19306006
264	3.192685837
265	3.192167668
266	3.191468041
267	3.1907921
268	3.190107442
269	3.189598343
270	3.188946441
271	3.18783072
272	3.187357642
273	3.18669811
274	3.186150002
275	3.184970489
276	3.184342636
277	3.182848262
278	3.182366096
279	3.182131231
280	3.181166891
281	3.180586379
282	3.179962408
283	3.179647462
284	3.179306864
285	3.178434266
286	3.176533155
287	3.175909042
288	3.174663923
289	3.172925115
290	3.172043863
291	3.171384225
292	3.170724211
293	3.169286377
294	3.168870844
295	3.167198919
296	3.166264058
297	3.165991121
298	3.16356504
299	3.161932427
